Vendor_ID,month,Passengers_sum,Passengers_mean,Ride_Count
T00001,2012-04,9582305,1.2458058424900138,7691652.0
T00001,2012-05,10088114,1.2822676764537615,7867401.0
T00001,2012-06,9922191,1.2887979222722517,7698795.0
T00001,2012-07,9529734,1.3067201984405306,7292865.0
T00001,2012-08,9457359,1.3004489589377892,7272380.0
T00001,2012-09,9522274,1.296803176626946,7342883.0
T00001,2012-10,9481801,1.285712736023479,7374743.0
T00001,2012-11,9015309,1.2897847399445304,6989778.0
T00001,2012-12,9837082,1.323624502282584,7431927.999999999
T00001,2013-01,9432637,1.265972665587692,7450901.0
T00001,2013-02,8878063,1.2612694434855,7038990.0
T00001,2013-03,10169964,1.282149540769474,7931963.999999999
T00001,2013-04,9321988,1.2678150548947489,7352798.0
T00001,2013-05,9859333,1.2849902335438765,7672691.0
T00001,2013-06,9254171,1.2908154611560159,7169244.0
T00001,2013-07,8878062,1.2988600892546778,6835272.0
T00001,2013-08,8456045,1.3007697051486424,6500801.0
T00001,2013-09,8892775,1.2797648557864378,6948757.0
T00001,2013-10,9500870,1.2708478547845514,7476009.0
T00001,2013-11,9205916,1.2898960675605693,7136944.0
T00001,2013-12,9068473,1.3116432204108117,6913825.999999999
T00001,2014-01,8815123,1.2700425171340428,6940809.367462802
T00001,2014-02,8310562,1.2615743983408434,6587452.956345354
T00001,2014-03,9976602,1.262671571730602,7901185.251463445
T00001,2014-04,9545268,1.2657608644903977,7541130.6098826
T00001,2014-05,9728859,1.27637262291884,7622271.760852884
T00001,2014-06,9042874,1.273575571237113,7100382.736782571
T00001,2014-07,8563375,1.2727896620168253,6728036.262040914
T00001,2014-08,8337002,1.286114404613477,6482317.568401363
T00001,2014-09,8607348,1.2508717524279633,6881079.521775907
T00001,2014-10,9281774,1.2488342221827742,7432350.775731351
T00001,2014-11,8761934,1.2592435791050782,6958093.05315414
T00001,2014-12,8720883,1.2592707277537003,6925344.016815509
T00001,2015-01,8110607,1.2373546466619763,6554795.766824058
T00001,2015-02,7801928,1.2201381467162165,6394298.892299608
T00001,2015-03,8467576,1.2236815559848135,6919754.537924151
T00001,2015-04,8372366,1.233552289404714,6787199.920029596
T00001,2015-05,8549486,1.2500911868324351,6839089.892044804
T00001,2015-06,7898315,1.2397666821100355,6370807.599505231
T00001,2015-07,7435970,1.250124323411634,5948184.401137779
T00001,2015-08,7156540,1.2554320231433116,5700459.975588067
T00001,2015-09,7058628,1.237963381674224,5701806.777559041
T00001,2015-10,7824230,1.2321328607005206,6350151.229268886
T00001,2015-11,7228819,1.235188700250777,5852400.526763524
T00001,2015-12,7417853,1.2455616961802556,5955427.999069185
T00001,2016-01,6733229,1.2249506174897702,5496735.055163341
T00001,2016-02,6992981,1.2134998709358902,5762654.918625403
T00001,2016-03,7594840,1.225680259068275,6196428.4272420015
T00001,2016-04,7469102,1.2291561407347573,6076609.596186182
T00001,2016-05,7469178,1.2365307637439846,6040430.387178335
T00001,2016-06,6979852,1.236135013496766,5646512.657428469
T00001,2016-07,6493695,1.2518922994834907,5187103.557294176
T00001,2016-08,6111419,1.2370602400289195,4940275.98838447
T00001,2016-09,6110293,1.2241725003484776,4991366.0029616915
T00001,2016-10,6688718,1.2306946772659864,5434912.593316098
T00001,2016-11,6189224,1.2226970105655524,5061944.166476048
T00001,2016-12,6528722,1.2395287586467965,5267100.060774272
T00001,2017-01,5714445,1.2058618399702739,4738888.660860906
T00001,2017-02,5377485,1.2052049970355392,4461884.088787451
T00001,2017-03,6103308,1.2044973976017301,5067099.366218866
T00001,2017-04,6055896,1.2222790474514218,4954593.644247743
T00001,2017-05,5987059,1.207047771400469,4960084.548313739
T00001,2017-06,5703146,1.211297213752945,4708296.143380058
T00001,2017-07,5078066,1.2285945188278165,4133231.853292742
T00001,2017-08,4883320,1.2199361269619708,4002930.884718547
T00001,2017-09,5154849,1.2116048926471028,4254562.713705897
T00001,2017-10,5704927,1.2077270714417954,4723688.931795996
T00001,2017-11,5416827,1.2060294722114875,4491454.914503212
T00001,2017-12,5666285,1.2292972714095831,4609369.215879501
T00001,2018-01,4872646,1.188904908648845,4098432.0651326245
T00001,2018-02,4694069,1.1915963435926997,3939311.3492168305
T00001,2018-03,5186211,1.193824633552456,4344198.347262635
T00001,2018-04,5173864,1.1980859895213571,4318441.28489224
T00001,2018-05,5082256,1.195951085824066,4249551.725184553
T00001,2018-06,4736518,1.2020973336950609,3940211.7176657217
T00001,2018-07,4100553,1.2077739059189696,3395132.9631351624
T00001,2018-08,4035370,1.2066934824439768,3344154.9645457296
T00001,2018-09,4088308,1.2006489969328924,3405081.760317755
T00001,2018-10,4512931,1.1895157207682372,3793922.9563820874
T00001,2018-11,4148353,1.191073889212114,3482867.887183811
T00001,2018-12,4198908,1.2092629832884514,3472286.8871596097
T00001,2019-01,3642809,1.167764909308568,3119471.197466365
T00001,2019-02,3293878,1.169567277758214,2816321.9531189273
T00001,2019-03,3675855,1.1807757063209743,3113084.8816775875
T00001,2019-04,3507520,1.1924393516184604,2941466.159464927
T00001,2019-05,3504703,1.1892341223324667,2947025.2612043805
T00001,2019-06,3233384,1.2002086318812153,2694018.284914325
T00001,2019-07,2865243,1.195635888077036,2396417.695865775
T00001,2019-08,2776247,1.1981261338902598,2317157.5358144096
T00001,2019-09,2883220,1.1813642219950817,2440585.1695176894
T00001,2019-10,3117510,1.1833260720659962,2634531.6591876214
T00001,2019-11,2951572,1.1858476930408255,2488997.5477638217
T00001,2019-12,2981574,1.2040178507344823,2476353.650555232
T00001,2020-01,2609927,1.1647659729886923,2240730.8081838493
T00001,2020-02,2538343,1.1626140200454693,2183306.7176505635
T00001,2020-03,1177659,1.13388431320649,1038605.9550199794
T00001,2020-04,98945,0.9852661137621641,100424.64529931513
T00001,2020-05,133641,1.0016785325529833,133417.05512984138
T00001,2020-06,217991,1.0280213843631316,212049.09091949227
T00001,2020-07,304893,1.0404685559167075,293034.32407082524
T00001,2020-08,352155,1.0531863839313935,334371.01482973597
T00001,2020-09,450719,1.0580789655273328,425978.60337897134
T00001,2020-10,557657,1.0622145221072616,524994.7053008641
